Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Location Coordinates,Migration Route,UNSD Geographical Grouping,Source Quality
US-Mexico Border,8-Aug-19,2019,Aug,1,NULL,1,NULL,NULL,NULL,NULL,Unknown,"Near Sullivan City, Hidalgo County, Texas, USA",AP,"26.270817082003, -98.593158756836",Central America to US,Northern America,3
South America,8-Aug-19,2019,Aug,1,NULL,1,NULL,NULL,1,NULL,Fell from truck,"Kilometer 62 of highway from IbaguÃ© en route to Calarca, Colombia","Venezuela al Dia, Voz de America","4.420165536445, -75.382909934570",NULL,South America,3
South Asia,8-Aug-19,2019,Aug,1,NULL,1,NULL,NULL,1,NULL,Cardiac arrest,"Kapisa Province, Afghanistan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"34.704498000000, 69.721330000000",NULL,Southern Asia,2
Southeast Asia,8-Aug-19,2019,Aug,2,NULL,2,NULL,2,NULL,NULL,"Starvation, Dehydration, Excessive Physical Abuse, Sexual abuse","Off the coast of Pattani Province, Thailand",Mixed Migration Monitoring Mechanism Initiative (4Mi),"6.755663000000, 101.701454000000",NULL,Uncategorized,2
US-Mexico Border,6-Aug-19,2019,Aug,1,NULL,1,NULL,NULL,1,NULL,Drowning,"RÃ­o Bravo, near Matamoros, Tamaulipas, Mexico",Noticias24Siete,"25.879783779872, -97.494390565546",Central America to US,Central America,1
Southeast Asia,6-Aug-19,2019,Aug,2,NULL,2,7,NULL,2,NULL,Vehicle Accident,"Ko Kha district, Lampang, Thailand","IOM Thailand, Bangkok Post","18.128807800000, 99.345111800000",NULL,South-eastern Asia,4
US-Mexico Border,6-Aug-19,2019,Aug,1,NULL,1,NULL,NULL,NULL,NULL,Drowning,"RÃ­o Bravo, near Bowles Ranch, Eagle Pass, Maverick County, Texas, USA",ZÃ³calo,"28.749602003299, -100.453633473300",Central America to US,Northern America,1
US-Mexico Border,5-Aug-19,2019,Aug,1,NULL,1,NULL,NULL,1,NULL,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,"32.481200700000, -111.667840700000",Central America to US,Northern America,5
Middle East,5-Aug-19,2019,Aug,1,NULL,1,NULL,NULL,1,NULL,Shot,"Syria-Turkey border, near Azmarin, Idlib, Syria","The New Arab, Syrian Observer, Washington Post","36.056638025335, 36.379893894294",NULL,Western Asia,3
Mediterranean,5-Aug-19,2019,Aug,NULL,2,2,49,NULL,1,1,Presumed drowning,"Unspecified location between Libya and Lampedusa, Italy","IOM Italy, UNHCR","34.269472676972, 12.705224426730",Central Mediterranean,Uncategorized,4
South Asia,4-Aug-19,2019,Aug,1,NULL,1,NULL,NULL,1,NULL,"Sickness and lack of access to medicines, Starvation, Dehydration, Suffocation","Kerman Province, Iran",Mixed Migration Monitoring Mechanism Initiative (4Mi),"30.280599000000, 57.131697000000",NULL,NULL,2
US-Mexico Border,3-Aug-19,2019,Aug,1,NULL,1,NULL,NULL,1,NULL,Hyperthermia,"Open Desert near Calexico, California, Imperial County, California, USA",Imperial County Coroner's Office,"32.658734919756, -115.591580543550",Central America to US,Northern America,5
US-Mexico Border,3-Aug-19,2019,Aug,1,NULL,1,8,NULL,1,NULL,Dehydration,"Comanche ranch, Maverick County, Texas, USA","US Border Patrol, ZÃ³calo","28.624902866605, -100.158129172730",Central America to US,Northern America,5
Central America,3-Aug-19,2019,Aug,1,NULL,1,NULL,NULL,1,NULL,Hit by train,"Train tracks near Puente Tehuantepec 1, near Canticas, Cosoleacaque, Veracruz, Mexico","Al Calor PolÃ­tico, XEU Noticias","18.093831289622, -94.570061605679",NULL,Central America,3
US-Mexico Border,3-Aug-19,2019,Aug,1,NULL,1,NULL,NULL,1,NULL,Drowning,"RÃ­o Bravo, near Mission, Hidalgo County, Texas, USA",Chiapas Sin Censura,"26.166204168380, -98.335677746760",Central America to US,Northern America,1
Central America,3-Aug-19,2019,Aug,1,NULL,1,NULL,NULL,1,NULL,Hit by train,"Train tracks near colonia Analco, Ramos Arizpe, Coahuila, Mexico","ExcÃ©lsior, El Heraldo de Saltillo, Diario de MÃ©xico","25.556799823202, -100.947820623090",NULL,Central America,3
North Africa,3-Aug-19,2019,Aug,2,NULL,2,NULL,1,1,1,"Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter","Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"26.976091000000, 14.460981000000",NULL,Northern Africa,2
South Asia,3-Aug-19,2019,Aug,4,NULL,4,NULL,2,2,2,"Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter","Chittagong Division, Bangladesh",Mixed Migration Monitoring Mechanism Initiative (4Mi),"22.249599000000, 91.818757000000",NULL,Southern Asia,2
Europe,2-Aug-19,2019,Aug,2,NULL,2,NULL,NULL,2,NULL,Suffocation,"Mordovia, Russia",Mixed Migration Monitoring Mechanism Initiative (4Mi),"54.071498000000, 42.733796000000",NULL,Eastern Europe,2
Central America,2-Aug-19,2019,Aug,1,NULL,1,NULL,NULL,1,NULL,Cardiac arrest,"5Âª Oriente between 7Âª and 9Âª Norte, Tapachula, Chiapas, Mexico","FiscalÃ­a General del Estado, ADN Cuba, Debate","14.905556700000, -92.263413600000",NULL,Central America,5
Europe,2-Aug-19,2019,Aug,4,NULL,4,NULL,NULL,4,NULL,NULL,"North Karelia, Finland",Mixed Migration Monitoring Mechanism Initiative (4Mi),"62.544340000000, 31.007590000000",NULL,Northern Europe,2
Mediterranean,2-Aug-19,2019,Aug,1,NULL,1,NULL,NULL,1,NULL,Drowning,"Body recovered off Cala del Desnarigado, Ceuta, Spain","El Faro de Ceuta, Ceuta TV","35.892832797356, -5.281629242047",Western Mediterranean,Uncategorized,3
US-Mexico Border,2-Aug-19,2019,Aug,1,NULL,1,NULL,NULL,1,NULL,Drowning,"RÃ­o Bravo, near El Patinadero, Parque Viveros, Tamaulipas, Mexico","La Jornada, Vox PÃ³puli, El MaÃ±ana","27.479457459751, -99.479084887306",Central America to US,Central America,3
Mediterranean,2-Aug-19,2019,Aug,1,NULL,1,NULL,NULL,NULL,NULL,Drowning,"Body recovered on Plage Bouyafar, near Nador, Morocco (Alboran sea)",Association Marocaine des Droits Humains - Section Nador,"35.244430799903, -3.171523489268",Western Mediterranean,Uncategorized,4
US-Mexico Border,2-Aug-19,2019,Aug,1,NULL,1,NULL,NULL,1,NULL,Dehydration,"Kunafin Junfin ranch, near Normandy, Maverick County, Texas, USA","La Rancherita del Aire, ZÃ³calo","28.908961809038, -100.600107187710",Central America to US,Northern America,3
US-Mexico Border,2-Aug-19,2019,Aug,1,NULL,1,NULL,NULL,1,NULL,Drowning,"RÃ­o Bravo, near Centro Recreativo La Playita, Reynosa, Tamaulipas, Mexico","Multimedios, Milenio","26.143086411111, -98.328974527383",Central America to US,Central America,3
US-Mexico Border,2-Aug-19,2019,Aug,1,NULL,1,1,NULL,1,NULL,Drowning,"RÃ­o Bravo, near Presa Internacional AnzaldÃºas, Reynosa, Tamaulipas, Mexico","ExcÃ©lsior, Milenio","26.137927499760, -98.335083318429",Central America to US,Central America,3
US-Mexico Border,1-Aug-19,2019,Aug,1,NULL,1,NULL,NULL,1,NULL,Drowning,"RÃ­o Bravo, near Nuevo Laredo, Tamaulipas, Mexico","La Jornada, Vox PÃ³puli","27.476619774726, -99.481808951156",Central America to US,Central America,3
US-Mexico Border,1-Aug-19,2019,Aug,1,NULL,1,1,NULL,1,NULL,Sickness,"Died at the Lordsburg Border Patrol Station in New Mexico, USA, just hours after being apprehended near El Paso",US Border Patrol,"32.348230000000, -108.745486700000",Central America to US,Northern America,5
US-Mexico Border,31-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Dehydration,"La Paloma ranch, near Highway 57, Maverick County, Texas, USA","La Rancherita del Aire, ZÃ³calo","28.788046840156, -100.399340051310",Central America to US,Northern America,3
Central America,31-Jul-19,2019,Jul,1,NULL,1,9,NULL,1,NULL,Shot,"Train tracks near Casa del Migrante de Saltillo, Coahuila, Mexico",Casa del Migrante de Saltillo,"25.406105756861, -101.023817863880",NULL,Central America,4
Europe,31-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,NULL,NULL,Hit by train,"Train tracks near Bihac, Bosnia and Herzegovina","AP, ANSA","44.819532705347, 15.886675625029",Western Balkans,Southern Europe,4
US-Mexico Border,31-Jul-19,2019,Jul,2,NULL,2,NULL,NULL,NULL,NULL,Unknown,"Different locations in Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,"27.081117540308, -98.200171188456",Central America to US,Northern America,1
Europe,31-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Violence,"Velika KladuÅ¡a, Bosnia and Herzegovina, near border with Croatia","AP, ANSA","45.188659376355, 15.792659899916",Western Balkans,Southern Europe,4
Sub-Saharan Africa,31-Jul-19,2019,Jul,2,NULL,2,NULL,1,1,NULL,"Sickness and lack of access to medicines, Dehydration","Sahara Desert, Niger, near border with Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"22.753382000000, 13.804316000000",NULL,Western Africa,2
Central America,31-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Hit by train,"Train tracks near colonia Adolfo LÃ³pez Mateos, Coatzacoalcos, Veracruz, Mexico","Imagen del Golfo, Al Calor PolÃ­tico","18.122947113580, -94.428417813531",NULL,Central America,3
US-Mexico Border,30-Jul-19,2019,Jul,1,NULL,1,NULL,1,NULL,NULL,Hyperthermia,"Near Tecate, San Diego County, California, USA",San Diego Office of the Medical Examiner,"32.579008190267, -116.621845406880",NULL,Northern America,5
Horn of Africa,30-Jul-19,2019,Jul,NULL,15,15,78,NULL,NULL,NULL,"Dehydration, Starvation, Drowning","Gulf of Aden, off the coast of Al Buraiqeh, Yemen",IOM Yemen,"12.666870541656, 44.740286808419",Horn Africa to Yemen,Western Asia,4
US-Mexico Border,29-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,NULL,NULL,Unknown (skeletal remains),"Ranch near the Falfurrias Border Patrol Checkpoint on Highway 281, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,"27.009070649842, -98.076525118501",Central America to US,Northern America,1
Middle East,29-Jul-19,2019,Jul,10,NULL,10,20,NULL,NULL,2,Struck by artillery shells,"Al Thabet market, Qataber, Sadaa province, Yemen",IOM Yemen,"17.298034870493, 43.382434844971",NULL,Western Asia,4
US-Mexico Border,29-Jul-19,2019,Jul,1,NULL,1,NULL,1,NULL,1,Hyperthermia,"Hillside near Jamul, San Diego County, California, USA",San Diego Office of the Medical Examiner,"32.677073001406, -116.882542493450",NULL,Northern America,5
US-Mexico Border,29-Jul-19,2019,Jul,1,NULL,1,2,NULL,1,NULL,Drowning,"RÃ­o Bravo, near Ejido Madero del RÃ­o, Ciudad AcuÃ±a, Coahuila, Mexico","La Voz de Coahuila, El Siglo de TorreÃ³n","29.243763633996, -100.795425353080",Central America to US,Central America,3
US-Mexico Border,29-Jul-19,2019,Jul,1,NULL,1,1,1,NULL,NULL,Drowning,"Canal near the CÃ©sar ChÃ¡vez Border Highway at Yarbrough, El Paso, El Paso County, Texas, USA","El Paso Police Department, El Paso Times, El Diario, Prensa Libre","31.710822977115, -106.368404026530",Central America to US,Northern America,5
US-Mexico Border,28-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Unknown,"Ranch north of Falfurrias, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,"27.276826238812, -98.061468795878",Central America to US,Northern America,1
Europe,28-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Drowning,"Evros/MeriÃ§ river, near Aristino, Greece",E-Evros,"40.840002243105, 26.215655703007",NULL,Southern Europe,1
US-Mexico Border,28-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Drowning,"RÃ­o Bravo, near Calle Chihuahua, Nuevo Laredo, Tamaulipas, Mexico","Vox PÃ³puli, Milenio","27.471696385531, -99.483042038298",Central America to US,Central America,3
US-Mexico Border,27-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Drowning,"All American Canal, Calexico, Imperial County, California, USA",Imperial County Coroner's Office,"32.663059932655, -115.534373970490",Central America to US,Northern America,5
US-Mexico Border,27-Jul-19,2019,Jul,1,NULL,1,1,1,NULL,NULL,Dehydration,"Body recovered along the boundary of the Barry M. Goldwater Bombing Range, Yuma County, Arizona, USA",KYMA,"32.403532528465, -113.705843930820",Central America to US,Northern America,1
North Africa,26-Jul-19,2019,Jul,2,NULL,2,NULL,1,1,1,"Sickness and lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter","Unspecified location in the Sahara Desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"25.291150000000, 13.766789000000",NULL,Northern Africa,2
South Asia,26-Jul-19,2019,Jul,3,NULL,3,NULL,2,1,2,Shot or stabbed,"Isfahan Province, Iran",Mixed Migration Monitoring Mechanism Initiative (4Mi),"33.443166000000, 50.808991000000",NULL,Southern Asia,2
Mediterranean,25-Jul-19,2019,Jul,75,75,150,134,NULL,NULL,NULL,Drowning,"Unspecified location off the coast of Al-Khums, Libya","IOM Libya, UNHCR Libya, MSF","32.834432719848, 14.624344026235",Central Mediterranean,Uncategorized,4
Sub-Saharan Africa,25-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,1,Dehydration,"Unspecified location in the Sahara desert in Chad, on the border with Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"23.008391000000, 16.720115000000",NULL,NULL,2
North Africa,25-Jul-19,2019,Jul,2,NULL,2,NULL,NULL,2,NULL,Shot or stabbed,"Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"26.976091000000, 14.460981000000",NULL,Northern Africa,2
US-Mexico Border,25-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Drowning,"RÃ­o Bravo, near Santa Ana National Wildlife Refugee, Hidalgo County, Texas, USA","El MaÃ±ana, ZÃ³calo, Noticias al DÃ­a","26.054200041735, -98.141739029125",Central America to US,Northern America,3
US-Mexico Border,24-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Unknown,"Pima County jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,"32.057701900000, -112.143021500000",Central America to US,Northern America,5
Mediterranean,24-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Drowning,"Off the coast of Al-Hoceima, Morocco (Alboran Sea)",Salua El Omari,"35.303407863438, -3.925795900205",Western Mediterranean,Uncategorized,1
Sub-Saharan Africa,24-Jul-19,2019,Jul,1,NULL,1,NULL,1,NULL,1,Vehicle Accident,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),"7.985996000000, 16.975448000000",NULL,Western Africa,2
Sub-Saharan Africa,24-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Vehicle Accident,Unspecified location in the Central African Republic,Mixed Migration Monitoring Mechanism Initiative (4Mi),"22.524866000000, 9.987734000000",NULL,NULL,2
US-Mexico Border,23-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Unknown,"Ranch near Encino, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,"26.929552244014, -98.242094456034",Central America to US,Northern America,1
North Africa,23-Jul-19,2019,Jul,2,NULL,2,NULL,NULL,2,NULL,Vehicle Accident,"Unspecified location in the Sahara Desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"25.291150000000, 13.766789000000",NULL,Northern Africa,2
North Africa,23-Jul-19,2019,Jul,2,NULL,2,NULL,1,1,1,"Sickness and lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter","Unspecified location in the Sahara Desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"25.291150000000, 13.766789000000",NULL,Northern Africa,2
Mediterranean,23-Jul-19,2019,Jul,NULL,8,8,NULL,NULL,NULL,NULL,Presumed drowning,"Bodies recovered near Sirte, Libya",Alwasat,"31.298543418604, 16.564394267024",Central Mediterranean,Uncategorized,1
North Africa,23-Jul-19,2019,Jul,2,NULL,2,NULL,NULL,2,2,"Sickness and lack of access to medicines, Starvation","Sabratha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"32.744910000000, 12.450226000000",NULL,Northern Africa,2
Mediterranean,23-Jul-19,2019,Jul,NULL,1,1,8,1,NULL,1,Drowning,"Off the coast of Bodrum, Turkey","Turkish Coast Guard via IOM Turkey, Alarm Phone, Daily Sabah","36.943265558429, 27.403303047554",Eastern Mediterranean,Uncategorized,5
Sub-Saharan Africa,23-Jul-19,2019,Jul,1,NULL,1,NULL,1,NULL,NULL,"Sickness and lack of access to medicines, Dehydration","Unspecified location in the Sahara desert, Niger, near border with Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"22.753382000000, 13.804316000000",NULL,Western Africa,2
Mediterranean,23-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Drowning,"Off the coast of El Tarajal, Ceuta, Spain","Europa Press, El Faro de Ceuta","35.872671290563, -5.340692227750",Western Mediterranean,Uncategorized,3
Mediterranean,22-Jul-19,2019,Jul,NULL,1,1,NULL,NULL,1,NULL,Presumed drowning,"Disappeared while swimming around the border fence between Morocco and El Tarajal, Ceuta, Spain",El Faro de Ceuta,"35.870741242641, -5.341660207254",Western Mediterranean,Uncategorized,1
North Africa,22-Jul-19,2019,Jul,1,NULL,1,NULL,1,NULL,NULL,Sickness and lack of access to medicines,"Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"27.022490000000, 14.440990000000",NULL,Northern Africa,2
US-Mexico Border,22-Jul-19,2019,Jul,2,NULL,2,NULL,1,1,NULL,Dehydration,"Desert near Arizona State Route 86, Pima County, Arizona, USA",Ãguilas del Desierto via Phoenix New Times,"31.994554632983, -112.006083362580",Central America to US,Northern America,1
US-Mexico Border,22-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Unknown,"Pima County jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,"32.129207900000, -111.146947700000",Central America to US,Northern America,5
Sub-Saharan Africa,22-Jul-19,2019,Jul,1,NULL,1,NULL,1,NULL,NULL,Vehicle Accident,"Boromo, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-2.929637000000, 11.745172000000",NULL,Western Africa,2
US-Mexico Border,22-Jul-19,2019,Jul,1,NULL,1,NULL,1,NULL,NULL,Probable hyperthermia,"Pima Couny jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,"32.129207900000, -111.146947700000",Central America to US,Northern America,5
US-Mexico Border,22-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Unknown,"Pima Couny jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,"32.331803200000, -112.524509300000",Central America to US,Northern America,5
US-Mexico Border,22-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Unknown (skeletal remains),"Pima Couny jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,"32.373978500000, -111.457253300000",Central America to US,Northern America,5
US-Mexico Border,21-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Drowning,"Canal in ranch in Maverick County, Texas, USA","La Rancherita del Aire, ZÃ³calo","28.715580848881, -100.394364241040",Central America to US,Northern America,3
Europe,20-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Hit by train,"Train tracks along the railway line Thessaloniki-Alexandroupolis, near Xanthi, Greece","Refugee Support Aegean,  Efsyn","40.640062900000, 22.944419100000",NULL,Southern Europe,4
US-Mexico Border,20-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Sickness and lack of access to medicines,"Hospital General de Ciudad JuÃ¡rez, Chihuaha, MÃ©xico","El Diario, Reforma","31.738054300000, -106.456257900000",Central America to US,Central America,3
Southeast Asia,20-Jul-19,2019,Jul,3,NULL,3,NULL,2,1,2,"Sickness and lack of access to medicines, Harsh weather/lack of adequate shelter","Bangkok, Thailand",Mixed Migration Monitoring Mechanism Initiative (4Mi),"13.760339000000, 100.429298000000",NULL,NULL,2
US-Mexico Border,20-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Unknown,"Body recovered near Phoenix, Arizona, USA","CONAMIGUA, Todo Nocitas","33.179906060642, -112.241578803910",Central America to US,Northern America,5
US-Mexico Border,20-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Hyperthermia,"Desert, near El Centro, Imperial County, California, USA",The San Diego Union Tribune,"32.756800460358, -115.643388924410",Central America to US,Northern America,1
Sub-Saharan Africa,20-Jul-19,2019,Jul,1,NULL,1,NULL,1,NULL,NULL,Vehicle Accident,"Bobo Dioulasso, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-4.306153000000, 11.158826000000",NULL,Western Africa,2
Sub-Saharan Africa,20-Jul-19,2019,Jul,1,NULL,1,NULL,1,NULL,NULL,Sickness and lack of access to medicines,"Kantchari, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),"1.515145000000, 12.479761000000",NULL,Western Africa,2
Central America,20-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Hit by train,"Near JecolÃºa, El Fuerte, Sinaloa, Mexico",Debate,"26.217624637765, -108.722723682540",NULL,Central America,1
US-Mexico Border,20-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Unknown,"Pima Couny jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,"32.573573200000, -111.917944700000",Central America to US,Northern America,5
US-Mexico Border,20-Jul-19,2019,Jul,1,NULL,1,2,1,NULL,1,Multiple organ failure,"Hospital General Doctor Salvador ChavarrÃ­a in Piedras Negras, Coahuila, Mexico - after being rescued from the RÃ­o Bravo","La Prensa de Monclova, El Diario de Coahuila, ZÃ³calo","28.661188000000, -100.540686400000",Central America to US,Central America,3
US-Mexico Border,19-Jul-19,2019,Jul,1,NULL,1,NULL,1,NULL,NULL,Unknown (skeletal remains),"Pima Couny jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,"31.535548300000, -111.386271500000",Central America to US,Northern America,5
Central America,19-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Shot,"Near border bridge El Ceibo, Tenosique, Tabasco, Mexico - near border with Guatemala","XEVA Noticias, El PiÃ±ero","17.258728416225, -91.012688908886",NULL,Central America,3
US-Mexico Border,19-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Stabbed,"Hospital de la Familia -  - after being stabbed in colonia ChaveÃ±a, Ciudad JuÃ¡rez, Chihuahua, MÃ©xico","Noticiero Universal, PeriÃ³dico Cubano","31.730067100000, -106.483289300000",Central America to US,South America,3
Sub-Saharan Africa,19-Jul-19,2019,Jul,2,NULL,2,NULL,NULL,2,1,"Sickness and lack of access to medicines, Vehicle Accident","Sikasso, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-5.691763000000, 11.316677000000",NULL,Western Africa,2
US-Mexico Border,18-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Unknown,"Ranch southwest of Falfurrias, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart,"27.137592559984, -98.230383590799",Central America to US,Northern America,1
US-Mexico Border,18-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Drowning,"RÃ­o Bravo, nea Reynosa, Tamaulipas, Mexico","LÃ³pez Doriga, El Mercurio de Tamaulipas","25.981681000000, -98.079684600000",Central America to US,Central America,3
South America,18-Jul-19,2019,Jul,1,NULL,1,1,NULL,NULL,NULL,Hit by truck,"Road in Pamplona, Santander, Colombia","El Nacional, La OpiniÃ³n, El Periodiquito","7.378230000000, -72.650336900000",NULL,South America,3
Sub-Saharan Africa,18-Jul-19,2019,Jul,1,NULL,1,NULL,1,NULL,NULL,Sickness and lack of access to medicines,"Bobo Dioulasso, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-4.306153000000, 11.158826000000",NULL,Western Africa,2
Sub-Saharan Africa,18-Jul-19,2019,Jul,2,NULL,2,NULL,1,1,1,Dehydration,"Niamey, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),"2.123324000000, 13.508763000000",NULL,Western Africa,2
Middle East,18-Jul-19,2019,Jul,16,NULL,16,50,6,6,5,Vehicle Accident,"Road near IlÄ±kaynak district, Ä°pekyolu, Van province, Turkey","Daily Sabah, L'Orient Le Jour, Sabah","38.749640000000, 43.613323000000",NULL,Western Asia,3
Sub-Saharan Africa,18-Jul-19,2019,Jul,2,NULL,2,NULL,NULL,1,1,Sickness and lack of access to medicines,"Lome, Togo",Mixed Migration Monitoring Mechanism Initiative (4Mi),"1.225748000000, 6.130096000000",NULL,Western Africa,2
Sub-Saharan Africa,17-Jul-19,2019,Jul,1,NULL,1,NULL,1,NULL,NULL,Sickness and lack of access to medicines,"Bobo Dioulasso, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-4.306153000000, 11.158826000000",NULL,Western Africa,2
South Asia,17-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Shot,"Unspecified location on the Iran-Pakistan border, Sistan and Baluchestan, Iran","Pakistan Today, Daily Balochistan Express","26.095338100000, 61.846223500000",NULL,South Asia,3
Sub-Saharan Africa,17-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,"Starvation, Dehydration","Kedougou, Senegal",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-12.174590000000, 12.559796000000",NULL,Western Africa,2
Sub-Saharan Africa,17-Jul-19,2019,Jul,2,NULL,2,NULL,1,1,NULL,"Sickness and lack of access to medicines, Harsh weather/lack of adequate shelter, Suffocation","Kumasi, Ghana",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-1.621256000000, 6.659396000000",NULL,Western Africa,2
Sub-Saharan Africa,17-Jul-19,2019,Jul,2,NULL,2,1,2,NULL,NULL,Vehicle Accident,"Unspecified location in the Sahara Desert, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),"11.519096000000, 20.684159000000",NULL,Western Africa,2
Sub-Saharan Africa,17-Jul-19,2019,Jul,1,NULL,1,NULL,1,NULL,NULL,NULL,"Kayes, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-11.444687000000, 14.435103000000",NULL,Western Africa,2
North Africa,17-Jul-19,2019,Jul,2,NULL,2,NULL,1,1,NULL,"Sickness and lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter","Unspecified location in the Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"25.291150000000, 13.766789000000",NULL,Northern Africa,2
Sub-Saharan Africa,17-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Sickness and lack of access to medicines,"Koubia, Guinea",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-11.892614000000, 11.581531000000",NULL,Western Africa,2
North Africa,17-Jul-19,2019,Jul,1,NULL,1,NULL,NULL,1,NULL,Sickness and lack of access to medicines,"Tripoli, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"32.895340000000, 13.181050000000",NULL,Northern Africa,2
Sub-Saharan Africa,17-Jul-19,2019,Jul,1,NULL,1,NULL,1,NULL,NULL,Sickness and lack of access to medicines,"Dao, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),"21.706642000000, 13.773611000000",NULL,Western Africa,2
